_id,name,price,rating,url,crawled_at
{ "$oid" : "53d7338b893a231b8574c675"},"Moto G (Black, with 8 GB)"," (30350 ratings)","Rs. 12499","/moto-g/p/itmdsmbxcrm9wy8r?pid=MOBDSGU2QFWMHGRR&otracker=from-search&srno=t_1&query=moto+g&ref=eb814ef1-c404-49f0-a1c4-9f44454ace50",{ "$date" : 1406612363850}
{ "$oid" : "53d7338b893a231b8574c676"},"Moto G (Black, with 16 GB)"," (30350 ratings)","Rs. 13999","/moto-g/p/itmdsmbxcrm9wy8r?pid=MOBDSGU2ZMDYENQA&otracker=from-search&srno=t_2&query=moto+g&ref=eb814ef1-c404-49f0-a1c4-9f44454ace50",{ "$date" : 1406612363890}
{ "$oid" : "53d7338b893a231b8574c677"},"Moto X (16 GB) (Black)"," (3312 ratings)","Rs. 23999","/moto-x-16-gb/p/itmdwgffrgc885qt?pid=MOBDSGU27YGJAZNB&otracker=from-search&srno=t_3&query=moto+g&ref=eb814ef1-c404-49f0-a1c4-9f44454ace50",{ "$date" : 1406612363893}
{ "$oid" : "53d7338b893a231b8574c678"},"Motorola Flip Cover for Moto G (Black)"," (841 ratings)","Rs. 1190","/motorola-flip-cover-moto-g/p/itmdunv58edgehwf?pid=ACCDSGVGTZBGZMYF&otracker=from-search&srno=t_4&query=moto+g&ref=eb814ef1-c404-49f0-a1c4-9f44454ace50",{ "$date" : 1406612363894}
{ "$oid" : "53d7338b893a231b8574c679"},"Edge Flip Cover for Moto G (Black)"," (64 ratings)","Rs. 239","/edge-flip-cover-moto-g/p/itmdu7swk6pcegrv?pid=ACCDU7SWK6PCEGRV&otracker=from-search&srno=t_5&query=moto+g&ref=eb814ef1-c404-49f0-a1c4-9f44454ace50",{ "$date" : 1406612363924}
{ "$oid" : "53d7338b893a231b8574c67a"},"nCase Flip Cover for Moto G (Black)"," (31 ratings)","Rs. 725","/ncase-flip-cover-moto-g/p/itmdvnymxpba8zjj?pid=ACCDVNYG3SRZD8FD&otracker=from-search&srno=t_6&query=moto+g&ref=eb814ef1-c404-49f0-a1c4-9f44454ace50",{ "$date" : 1406612363927}
{ "$oid" : "53d7338b893a231b8574c67b"},"nCase Flip Cover for Moto G (Black)"," (117 ratings)","Rs. 575","/ncase-flip-cover-moto-g/p/itmdsx67tb6u7zws?pid=ACCDSX65KFNDNB8F&otracker=from-search&srno=t_7&query=moto+g&ref=eb814ef1-c404-49f0-a1c4-9f44454ace50",{ "$date" : 1406612363929}
{ "$oid" : "53d7338b893a231b8574c67c"},"KolorEdge Flip Cover for Moto G (Black)"," (29 ratings)","Rs. 259","/koloredge-flip-cover-moto-g/p/itmdvghh5rngvxjt?pid=ACCDVGGQEZRRNHEK&otracker=from-search&srno=t_8&query=moto+g&ref=eb814ef1-c404-49f0-a1c4-9f44454ace50",{ "$date" : 1406612363931}
{ "$oid" : "53d7338b893a231b8574c67d"},"Motorola Flip Cover for Moto G (Blue)"," (653 ratings)","Rs. 1190","/motorola-flip-cover-moto-g/p/itmdunp2drv9s2hg?pid=ACCDSGVGWH2GKQHH&otracker=from-search&srno=t_9&query=moto+g&ref=eb814ef1-c404-49f0-a1c4-9f44454ace50",{ "$date" : 1406612363933}
{ "$oid" : "53d7338b893a231b8574c67e"},"Edge Flip Cover for Moto G (Blue)"," (18 ratings)","Rs. 275","/edge-flip-cover-moto-g/p/itmdu7swvszy6amu?pid=ACCDU7SWVSZY6AMU&otracker=from-search&srno=t_10&query=moto+g&ref=eb814ef1-c404-49f0-a1c4-9f44454ace50",{ "$date" : 1406612363934}
